CVE_ID,published_date,last_Modified_Date,discription,severity,obtain_all_privilege,obtain_user_privilege,user_interacrion_required,cvss2_vector_string,cvss2_access_vector,cvss2_access_complixity,cvss2_authentication,cvss2_confidentiality_impact,cvss2_base_score,cvss3_vectore_string,cvss3_attack_vector,cvss3_attack_complixity,cvss3_privileges_required,cvss3_user_interaction,cvss3_scope,cvss3_confidentiality_impact,cvss3_integrity_impact,cvss3_base_score,cvss3_base_severity,impact_score,ac_insuf_info,problemtype_json
CVE-2018-10769,2018-08-10T15:29Z,2019-10-03T00:03Z,"The transferProxy and approveProxy functions of a smart contract implementation for SmartMesh (SMT), an Ethereum ERC20 token, allow attackers to accomplish an unauthorized transfer of digital assets because replay attacks can occur with the same-named functions (with the same signatures) in other tokens: First (FST), GG Token (GG), M2C Mesh Network (MTC), M2C Mesh Network (mesh), and UG Token (UGT).",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"NVD-CWE-noinfo
"
CVE-2018-11335,2018-07-04T00:29Z,2018-08-30T17:33Z,GVToken Genesis Vision (GVT) is a smart contract running on Ethereum. The mint function has an integer overflow that allows minted tokens to be arbitrarily retrieved by the contract owner.,MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-11429,2018-07-04T00:29Z,2018-08-24T13:58Z,ATLANT (ATL) is a smart contract running on Ethereum. The mint function has an integer overflow that allows minted tokens to be arbitrarily retrieved by the contract owner.,MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-12959,2018-07-19T20:29Z,2018-09-15T14:48Z,"The approveAndCall function of a smart contract implementation for Aditus (ADI), an Ethereum ERC20 token, allows attackers to steal assets (e.g., transfer all contract balances into their account).",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-20
"
CVE-2018-13041,2018-07-01T18:29Z,2020-02-06T18:04Z,"The mint function of a smart contract implementation for Link Platform (LNK), an Ethereum ERC20 token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13068,2018-07-03T01:29Z,2018-08-23T16:32Z,"The mintToken function of a smart contract implementation for AzurionToken (AZU), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13069,2018-07-03T01:29Z,2018-08-23T16:32Z,"The mintToken function of a smart contract implementation for DYchain (DYC), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13070,2018-07-03T01:29Z,2018-08-23T16:32Z,"The mintToken function of a smart contract implementation for EncryptedToken (ECC), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13071,2018-07-03T01:29Z,2020-02-24T21:50Z,"The mintToken function of a smart contract implementation for CCindex10 (T10), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13072,2018-07-03T01:29Z,2018-08-23T16:32Z,"The mintToken function of a smart contract implementation for Coffeecoin (COFFEE), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
