cpe23Uri,ID,CVE_ID,vulnerable
cpe:2.3:a:vyper_project:vyper:*:*:*:*:*:*:*:*,2691,CVE-2022-24845,1
cpe:2.3:a:vyper_project:vyper:*:*:*:*:*:*:*:*,2692,CVE-2022-24788,1
cpe:2.3:a:vyper_project:vyper:*:*:*:*:*:*:*:*,2693,CVE-2022-24787,1
cpe:2.3:a:linuxfoundation:besu:21.10.1:*:*:*:*:*:*:*,2694,CVE-2021-41272,1
cpe:2.3:a:openzeppelin:contracts:*:*:*:*:*:node.js:*:*,2695,CVE-2021-41264,1
cpe:2.3:a:vyper_project:vyper:*:*:*:*:*:*:*:*,2696,CVE-2021-41121,1
cpe:2.3:a:vyper_project:vyper:*:*:*:*:*:*:*:*,2697,CVE-2021-41122,1
cpe:2.3:a:suncontract:suncontract:-:*:*:*:*:*:*:*,2698,CVE-2018-14576,1
cpe:2.3:a:blocklancertoken_project:blocklancertoken:-:*:*:*:*:*:*:*,2699,CVE-2021-33403,1
cpe:2.3:a:doft:doftcoin:-:*:*:*:*:*:*:*,2700,CVE-2021-34270,1
cpe:2.3:a:mon_project:mon:-:*:*:*:*:*:*:*,2701,CVE-2020-17752,1
cpe:2.3:a:rc_project:rc:-:*:*:*:*:*:*:*,2702,CVE-2020-17753,1
cpe:2.3:a:xbornid:xbornid:*:*:*:*:*:*:*:*,2703,CVE-2019-15078,1
cpe:2.3:a:eai_project:eai:*:*:*:*:*:*:*:*,2704,CVE-2019-15079,1
cpe:2.3:a:morph_project:morph:*:*:*:*:*:*:*:*,2705,CVE-2019-15080,1
cpe:2.3:a:epnex:epiphanycoin:-:*:*:*:*:*:*:*,2706,CVE-2018-13467,1
cpe:2.3:a:beyondcash:beyondcashtoken:-:*:*:*:*:*:*:*,2707,CVE-2018-13471,1
cpe:2.3:a:airbridge:dmptoken:-:*:*:*:*:*:*:*,2708,CVE-2018-13478,1
cpe:2.3:a:triumland:triumland:-:*:*:*:*:*:*:*,2709,CVE-2018-13481,1
cpe:2.3:a:aluxdigital:aluxtoken:-:*:*:*:*:*:*:*,2710,CVE-2018-13533,1
cpe:2.3:a:cte:ctesale:-:*:*:*:*:*:*:*,2711,CVE-2018-13477,1
cpe:2.3:a:vicetoken:vittoken:-:*:*:*:*:*:*:*,2712,CVE-2018-13508,1
cpe:2.3:a:travelcoins:travelcointoken:-:*:*:*:*:*:*:*,2713,CVE-2018-13581,1
