repo_name,repo_url,repo_id,discription,date_created,date_last_push,homepage,repo_language,forks_count,stars_count,owner
IKB,https://github.com/mitchellfchan/IKB,100196775,Ethereum smart contract and related DApps for Digital Zones of Immaterial Pictorial Sensibility,2017-08-13 18:33:21,2021-10-22 00:26:01,,Solidity,0,12.0,mitchellfchan
echidna,https://github.com/crytic/echidna,101585932,Ethereum smart contract fuzzer,2017-08-27 23:13:10,2022-04-27 08:40:23,,Solidity,171,1252.0,crytic
price-feed,https://github.com/makerdao/price-feed,101657494,"price feed, with expiration and medianizer poke",2017-08-28 15:25:41,2021-02-26 19:02:07,,Solidity,12,29.0,makerdao
not-so-smart-contracts,https://github.com/crytic/not-so-smart-contracts,101668791,Examples of Solidity security issues,2017-08-28 17:26:15,2022-04-25 01:59:10,,Solidity,223,1376.0,crytic
primas-contracts,https://github.com/primasio/primas-contracts,101983788,Primas Ethereum Contracts,2017-08-31 09:25:49,2021-04-25 10:09:03,,Solidity,3,24.0,primasio
audits_public,https://github.com/mixbytes/audits_public,102384781,MixBytes Team public security audits,2017-09-04 17:15:34,2022-04-09 11:50:42,https://mixbytes.io,Solidity,14,41.0,mixbytes
kleros,https://github.com/kleros/kleros,102479413,Kleros smart contracts,2017-09-05 12:38:13,2022-01-13 18:02:38,,Solidity,59,184.0,kleros
learning-solidity,https://github.com/willitscale/learning-solidity,103062798,The companion to the Youtube tutorials,2017-09-10 21:20:31,2021-12-15 00:40:40,,Solidity,545,1739.0,willitscale
webasm-solidity,https://github.com/TrueBitFoundation/webasm-solidity,103413944,[DEPRECATED] On-chain interpreter for WebAssembly written in Solidity,2017-09-13 15:00:26,2020-09-04 03:58:26,,Solidity,12,63.0,TrueBitFoundation
PlayMarket-2.0-Contracts,https://github.com/DAOPlayMarket/PlayMarket-2.0-Contracts,103642226,Smart contracts of DAO PlayMarket 2.0 platform,2017-09-15 09:53:39,2019-03-14 05:57:41,https://playmarket.io/,Solidity,3,6.0,DAOPlayMarket
solidity-util,https://github.com/willitscale/solidity-util,103840596,Solidity Standard Utilities,2017-09-17 15:42:18,2019-06-13 17:11:31,,Solidity,31,113.0,willitscale
Playmarket-2.0-ICO-Contracts,https://github.com/DAOPlayMarket/Playmarket-2.0-ICO-Contracts,104187249,Smart contract for ICO Playmarket 2.0,2017-09-20 08:22:46,2018-12-27 07:04:30,,Solidity,1,7.0,DAOPlayMarket
blueprint-box,https://github.com/truffle-box/blueprint-box,104390152,All you need to get started making your own Truffle Box!,2017-09-21 19:31:03,2022-04-14 20:02:08,,Solidity,23,15.0,truffle-box
land,https://github.com/decentraland/land,104675991,? Contract for LAND,2017-09-24 21:01:36,2022-04-28 14:11:18,,Solidity,47,102.0,decentraland
RICO,https://github.com/DRI-network/RICO,104984367,The Responsible Initial Coin Offering Framework,2017-09-27 07:07:44,2018-06-13 03:27:14,,Solidity,19,89.0,DRI-network
Aragon-Payroll-Contract,https://github.com/Samyoul/Aragon-Payroll-Contract,105268832,A response to the Aragon contract challenge,2017-09-29 12:18:02,2019-07-23 14:53:35,https://github.com/aragon/jobs/blob/master/openings/solidity.md,Solidity,3,4.0,Samyoul
common-contract-deps,https://github.com/Giveth/common-contract-deps,105273619,Base layer smart contracts that Giveth likes to use :-D,2017-09-29 13:11:48,2022-04-12 23:37:09,,Solidity,4,16.0,Giveth
oasis-direct-proxy,https://github.com/daifoundation/oasis-direct-proxy,105571736,,2017-10-02 18:49:52,2020-05-26 07:36:09,,Solidity,10,14.0,daifoundation
MultiSigWallet,https://github.com/ConsenSysMesh/MultiSigWallet,105988412,Ethereum MultiSigWallet,2017-10-06 09:36:23,2022-01-10 15:29:31,https://etherscan.io/address/0x851b7f3ab81bd8df354f0d7640efcd7288553419#code,Solidity,127,277.0,ConsenSysMesh
solidity-bytes-utils,https://github.com/GNSPS/solidity-bytes-utils,106485141,Utility Solidity library composed of basic operations for tightly packed bytes arrays,2017-10-11 00:18:49,2022-03-15 23:24:32,,Solidity,61,272.0,GNSPS
PRE-Token,https://github.com/PresearchOfficial/PRE-Token,106708892,Presearch Ethereum Token,2017-10-12 15:10:51,2022-03-28 08:39:46,https://presearch.org,Solidity,7,44.0,PresearchOfficial
dnssec-oracle,https://github.com/ensdomains/dnssec-oracle,107115606,A DNSSEC oracle for Ethereum,2017-10-16 10:57:48,2022-02-28 20:45:20,,Solidity,28,54.0,ensdomains
solidity-idiosyncrasies,https://github.com/miguelmota/solidity-idiosyncrasies,107217298,"Solidity gotchas, pitfalls, limitations, and idiosyncrasies.",2017-10-17 04:19:07,2020-11-30 02:11:40,https://github.com/miguelmota/solidity-idiosyncrasies,Solidity,45,318.0,miguelmota
solsha1,https://github.com/ensdomains/solsha1,107556570,Pure-solidity implementation of the SHA1 hash function.,2017-10-19 14:22:07,2022-04-28 14:39:35,,Solidity,18,34.0,ensdomains
MyBit-Network.tech,https://github.com/MyBitFoundation/MyBit-Network.tech,107570854,?? The MyBit Network™ technology - Smart contracts and APIs to interact with the MyBit ecosystem,2017-10-19 16:21:35,2022-03-25 15:38:58,https://tech.mybit.io,Solidity,20,19.0,MyBitFoundation
